route_id,trip_id,trip_headsign,trip_direction_name
10673,1179813,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179814,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179815,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179816,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179817,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179818,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179819,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179820,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179821,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179822,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179823,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179824,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179825,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179826,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179827,EAGLE HEIGHTS,West Loop
10670,1179369,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179370,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179371,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179372,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179373,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179374,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179375,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179396,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179376,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179397,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179377,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179398,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179378,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179399,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179379,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179400,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179380,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179401,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179381,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179402,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179382,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179403,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179383,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179404,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179384,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179385,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
10670,1179386,MEMORIAL UNION VIA EAGLE HEIGHTS,West Loop
